breed,characteristic,rating
affenpinscher,Adaptability,3
affenpinscher,Adapts Well to Apartment Living,5
affenpinscher,Good For Novice Owners,4
affenpinscher,Sensitivity Level,3
affenpinscher,Tolerates Being Alone,1
affenpinscher,Tolerates Cold Weather,3
affenpinscher,Tolerates Hot Weather,3
affenpinscher,All Around Friendliness,3
affenpinscher,Affectionate with Family,5
affenpinscher,Incredibly Kid Friendly Dogs,1
affenpinscher,Dog Friendly,4
affenpinscher,Friendly Toward Strangers,3
affenpinscher,Health Grooming,2
affenpinscher,Amount Of Shedding,1
affenpinscher,Drooling Potential,1
affenpinscher,Easy To Groom,3
affenpinscher,General Health,4
affenpinscher,Potential For Weight Gain,3
affenpinscher,Size,1
affenpinscher,Trainability,3
affenpinscher,Easy To Train,2
affenpinscher,Intelligence,4
affenpinscher,Potential For Mouthiness,4
affenpinscher,Prey Drive,3
affenpinscher,Tendency To Bark Or Howl,2
affenpinscher,Wanderlust Potential,2
affenpinscher,Exercise Needs,4
affenpinscher,Energy Level,4
affenpinscher,Intensity,3
affenpinscher,Exercise Needs,3
affenpinscher,Potential For Playfulness,4
afghan-hound,Adaptability,4
afghan-hound,Adapts Well to Apartment Living,5
afghan-hound,Good For Novice Owners,3
afghan-hound,Sensitivity Level,5
afghan-hound,Tolerates Being Alone,2
afghan-hound,Tolerates Cold Weather,5
afghan-hound,Tolerates Hot Weather,5
afghan-hound,All Around Friendliness,4
afghan-hound,Affectionate with Family,5
afghan-hound,Incredibly Kid Friendly Dogs,5
afghan-hound,Dog Friendly,4
afghan-hound,Friendly Toward Strangers,2
afghan-hound,Health Grooming,2
afghan-hound,Amount Of Shedding,4
afghan-hound,Drooling Potential,1
afghan-hound,Easy To Groom,1
afghan-hound,General Health,3
afghan-hound,Potential For Weight Gain,1
afghan-hound,Size,4
afghan-hound,Trainability,3
afghan-hound,Easy To Train,1
afghan-hound,Intelligence,4
afghan-hound,Potential For Mouthiness,3
afghan-hound,Prey Drive,5
afghan-hound,Tendency To Bark Or Howl,2
afghan-hound,Wanderlust Potential,5
afghan-hound,Exercise Needs,4
afghan-hound,Energy Level,5
afghan-hound,Intensity,2
afghan-hound,Exercise Needs,4
afghan-hound,Potential For Playfulness,4
airedale-terrier,Adaptability,2
airedale-terrier,Adapts Well to Apartment Living,1
airedale-terrier,Good For Novice Owners,2
airedale-terrier,Sensitivity Level,3
airedale-terrier,Tolerates Being Alone,2
airedale-terrier,Tolerates Cold Weather,3
airedale-terrier,Tolerates Hot Weather,3
airedale-terrier,All Around Friendliness,4
airedale-terrier,Affectionate with Family,4
airedale-terrier,Incredibly Kid Friendly Dogs,4
airedale-terrier,Dog Friendly,4
airedale-terrier,Friendly Toward Strangers,3
airedale-terrier,Health Grooming,3
airedale-terrier,Amount Of Shedding,2
airedale-terrier,Drooling Potential,1
airedale-terrier,Easy To Groom,2
airedale-terrier,General Health,3
airedale-terrier,Potential For Weight Gain,4
airedale-terrier,Size,3
airedale-terrier,Trainability,5
airedale-terrier,Easy To Train,4
airedale-terrier,Intelligence,5
airedale-terrier,Potential For Mouthiness,5
airedale-terrier,Prey Drive,5
airedale-terrier,Tendency To Bark Or Howl,4
airedale-terrier,Wanderlust Potential,4
airedale-terrier,Exercise Needs,5
airedale-terrier,Energy Level,5
airedale-terrier,Intensity,3
airedale-terrier,Exercise Needs,5
airedale-terrier,Potential For Playfulness,5
akita,Adaptability,3
akita,Adapts Well to Apartment Living,2
akita,Good For Novice Owners,2
akita,Sensitivity Level,5
akita,Tolerates Being Alone,1
akita,Tolerates Cold Weather,5
akita,Tolerates Hot Weather,2
akita,All Around Friendliness,2
akita,Affectionate with Family,5
akita,Incredibly Kid Friendly Dogs,1
akita,Dog Friendly,1
akita,Friendly Toward Strangers,2
akita,Health Grooming,4
akita,Amount Of Shedding,5
akita,Drooling Potential,5
akita,Easy To Groom,1
akita,General Health,4
akita,Potential For Weight Gain,4
akita,Size,4
akita,Trainability,4
akita,Easy To Train,2
akita,Intelligence,3
akita,Potential For Mouthiness,3
akita,Prey Drive,4
akita,Tendency To Bark Or Howl,5
akita,Wanderlust Potential,4
akita,Exercise Needs,4
akita,Energy Level,4
akita,Intensity,3
akita,Exercise Needs,4
akita,Potential For Playfulness,5
alaskan-klee-kai,Adaptability,3
alaskan-klee-kai,Adapts Well to Apartment Living,3
alaskan-klee-kai,Good For Novice Owners,2
alaskan-klee-kai,Sensitivity Level,4
alaskan-klee-kai,Tolerates Being Alone,2
alaskan-klee-kai,Tolerates Cold Weather,5
alaskan-klee-kai,Tolerates Hot Weather,2
alaskan-klee-kai,All Around Friendliness,3
alaskan-klee-kai,Affectionate with Family,4
alaskan-klee-kai,Incredibly Kid Friendly Dogs,3
alaskan-klee-kai,Dog Friendly,2
alaskan-klee-kai,Friendly Toward Strangers,2
alaskan-klee-kai,Health Grooming,3
alaskan-klee-kai,Amount Of Shedding,4
alaskan-klee-kai,Drooling Potential,2
alaskan-klee-kai,Easy To Groom,4
alaskan-klee-kai,General Health,4
alaskan-klee-kai,Potential For Weight Gain,2
alaskan-klee-kai,Size,2
alaskan-klee-kai,Trainability,4
alaskan-klee-kai,Easy To Train,4
alaskan-klee-kai,Intelligence,4
alaskan-klee-kai,Potential For Mouthiness,2
alaskan-klee-kai,Prey Drive,5
alaskan-klee-kai,Tendency To Bark Or Howl,3
alaskan-klee-kai,Wanderlust Potential,4
alaskan-klee-kai,Exercise Needs,4
alaskan-klee-kai,Energy Level,4
alaskan-klee-kai,Intensity,2
alaskan-klee-kai,Exercise Needs,4
alaskan-klee-kai,Potential For Playfulness,4
alaskan-malamute,Adaptability,2
alaskan-malamute,Adapts Well to Apartment Living,1
alaskan-malamute,Good For Novice Owners,1
alaskan-malamute,Sensitivity Level,4
alaskan-malamute,Tolerates Being Alone,1
alaskan-malamute,Tolerates Cold Weather,5
alaskan-malamute,Tolerates Hot Weather,2
alaskan-malamute,All Around Friendliness,4
alaskan-malamute,Affectionate with Family,4
alaskan-malamute,Incredibly Kid Friendly Dogs,3
alaskan-malamute,Dog Friendly,2
alaskan-malamute,Friendly Toward Strangers,5
alaskan-malamute,Health Grooming,3
alaskan-malamute,Amount Of Shedding,5
alaskan-malamute,Drooling Potential,1
alaskan-malamute,Easy To Groom,1
alaskan-malamute,General Health,4
alaskan-malamute,Potential For Weight Gain,3
alaskan-malamute,Size,4
alaskan-malamute,Trainability,4
alaskan-malamute,Easy To Train,4
alaskan-malamute,Intelligence,4
alaskan-malamute,Potential For Mouthiness,3
alaskan-malamute,Prey Drive,4
alaskan-malamute,Tendency To Bark Or Howl,5
alaskan-malamute,Wanderlust Potential,5
alaskan-malamute,Exercise Needs,5
alaskan-malamute,Energy Level,5
alaskan-malamute,Intensity,5
alaskan-malamute,Exercise Needs,5
alaskan-malamute,Potential For Playfulness,5
